city,state,time,speed
Sainte-Rose,,25,2.87
Łódź,,23.5,1.3
Berlin,,8.44,1.78
Utrecht,,12.77,2.27
Sao Paulo,,6.35,0.49
Lisbon,,11.67,0.42
Alexandria,,5.65,0.91
Mururi,,10.67,2.94
Riga,,5.25,1.32
Phnom Penh,,5.19,1.47
Seoul,,4.97,0.8
Vientiane,,4.82,0.98
La Oroya,,9.46,0.71
San Juan,,4.7,1.41
Managua,,9.27,3.36
Santa Barbara,CA,4.63,1.32
Sydney,,4.57,0.98
Madrid,,4.49,1.11
Tokyo,,4.44,0.76
Lima,,4.27,1.22
Thiruvananthapuram,KL,4.19,1.23
Tel Aviv,,4.13,1.19
Settat,,8,1.95
Tulcán,,8,2.21
Ho Chi Minh City,,7.95,0.57
Mumbai,MH,3.94,1.06
Caracas,,3.88,0.76
Chicago,IL,3.83,1.35
Ilulissat,,7.64,0.75
Karachi,,3.7,0.97
Sihanoukville,,3.68,1.47
Metz,,7.25,1.29
Toronto,ON,3.61,0.7
Buenos Aires,,3.54,1.48
Denpasar,,3.48,1.36
Las Vegas,NV,3.44,1.21
New Delhi,DL,3.44,1.28
Ta Khmau,,6.86,1.69
Guatemala City,,3.4,1.21
Rabat,,3.36,1.34
Krasnoyarsk,,3.36,1.78
Bucoli,,6.67,0.91
Kharkiv,,3.31,0.87
Juba,,6.6,1.53
Abomey Calavi,,3.3,2.11
Ziguinchor,,3.29,1.55
Cherkessk,,6.56,0.98
Los Angeles,CA,3.19,1.67
Apia,,3.19,1.65
Auckland,,6.22,1.48
Moscow,,3.08,1.21
Kazan,,3.07,0.96
New York,NY,3.05,1.18
Gaborone,,6.04,1.41
Makhachkala,,3,1.13
Nibok,,5.83,2.36
Odesa,,2.89,1.7
Kampala,,2.88,1.16
München,,5.72,1.56
Francistown,,5.67,1.65
Moynaq,,5.67,0.35
Bishkek,,5.65,1.28
Atlanta,GA,5.65,1.34
Freetown,,2.82,1.04
Yerevan,,2.82,1.1
Turin,,5.64,1.81
Annaba,,2.82,1.38
Lomé,,2.81,1.15
Takeo,,5.62,1.64
Porto-Novo,,2.8,1.35
Asmara,,2.77,1.55
Sofia,,5.54,0.86
Rostov-on-Don,,5.52,1.18
Pittsburgh,PA,5.5,0.72
Murmansk,,2.75,0.96
Campo Grande,,5.46,0.9
Kathmandu,,2.7,1.22
Addis Ababa,,2.69,0.99
Cairo,,2.68,1.28
Baku,,2.66,1.38
Oranjestad,,5.25,1.53
Conakry,,2.62,1.12
Kaolack,,2.62,1.42
Road Town,,2.59,1.75
Kampot,,5.14,1.95
Columbus,OH,5.1,1.24
Kampong Chhnang,,5.09,2.02
Almaty,,5.04,1.31
Seattle,WA,5.03,1.13
Nairobi,,2.52,1.36
Thane,MH,2.51,1.93
Masvingo,,5,1.23
Manila,,4.99,1.3
Serrekunda,,2.46,1.25
Accra,,2.44,1.28
Ulaanbaatar,,2.43,1.47
Enugu,,2.4,1.41
Dréan,,2.4,1.48
Milan,,4.79,1.14
Nizhny Tagil,,4.78,3.47
Tangier,,2.39,1.58
Montego Bay,,2.38,1.41
Lucea,,4.76,0.64
Toshkent,,2.38,1.69
Yakutsk,,2.38,2.21
Kurgan,,4.73,2.14
Maputo,,2.35,0.8
San Salvador,,4.68,1.33
Gros Islet,,4.67,2.42
Nouméa,,4.67,1.1
Petropavlovsk-Kamchatsky,,4.66,0.9
Victoria,,2.32,2.31
Abidjan,,2.31,1.84
Lagos,,2.31,1.06
Miami,FL,4.58,1.73
Banjul,,2.28,1.4
Abuja,,2.27,1.45
Molepolole,,4.54,0.97
Linden,,2.26,1.74
Ouarzazate,,2.26,1.51
Białystok,,4.52,0.78
Tbilisi,,2.25,1.13
Bangkok,,4.47,0.73
Babruysk,,4.47,1.41
Mariupol,,4.47,2.08
Antananarivo,,2.23,1.15
Houston,TX,4.44,1.54
Asunción,,4.37,1.83
Zhodzina,,4.33,1.76
Oji River,,4.33,0.5
Lviv,,2.16,1.51
Spanish Town,,2.15,1.1
Kuala Lumpur,,4.29,0.78
Papeete,,4.29,1.28
Parika,,4.26,1.25
Mykolaiv,,4.26,1.24
Podolsk,,4.26,1.62
Lurigancho-Chosica,,4.23,0.94
Casablanca,,2.1,1.17
Mogadishu,,2.1,1.63
Bafoussam,,4.19,0.79
Cotonou,,4.19,0.99
Paramaribo,,4.18,1.26
Zheleznogorsk,,4.17,1.46
Portland,OR,4.16,1.03
Jakarta,,4.12,0.97
Paris,,4.11,0.9
Minsk,,2.05,1.41
Nkubu,,4.09,2.35
Irkutsk,,4.08,1.71
Philadelphia,PA,4.03,0.98
Lusaka,,2.01,1.39
Grand Baie,,4.01,1.21
Zabbar,,4,1.83
Rotterdam,,4,1.05
Bouillante,,4,0.54
Melbourne,,3.99,0.98
Awka,,3.99,1.77
Cayenne,,3.96,1.44
Brisbane,,3.96,0.87
Thessaloniki,,3.95,0.97
Pinsk,,3.94,1.37
Barcelona,,3.92,1.06
Yangon,,3.92,1.43
Pothencode,KL,3.92,1.55
Khabarovsk,,3.91,1.52
Birżebbuġa,,3.9,1.89
Bilbao,,3.89,1.5
Marrakesh,,3.87,1.37
Speightstown,,3.87,1.76
Dakar,,1.92,1.39
Baie Saint Anne,,3.83,1.33
Magadan,,1.92,0.96
Nuuk,,3.81,1.53
Ouagadougou,,3.81,1.34
Helsinki,,3.8,1.24
Batumi,,1.9,1.6
Phuket Town,,3.78,1.6
Vacoas-Phoenix,,1.89,1.07
Volgograd,,3.78,1.71
Tomsk,,3.75,1.25
Damascus,,3.74,1.01
Kryvyi Rih,,3.74,1.49
Muscat,,1.87,2.92
Qormi,,1.86,1.72
Estepona,,3.72,1.96
Sant Julià de Lòria,,3.71,1.62
Konotop,,3.69,0.49
Bujumbura,,1.85,1.66
La Paz,,3.68,0.9
Ouélessébougou,,3.68,1.89
San Pedro Sula,,1.83,1.4
Sègbo,,3.67,0.62
Vinnytsia,,3.67,1.25
St. John's,,3.66,1.4
Athens,,3.66,0.95
Donetsk,,1.83,0.96
Valencia,,3.65,1.11
Tallinn,,3.64,1.83
Haifa,,3.64,0.83
Austin,TX,3.64,1.53
Puerto Suárez,,3.64,1.49
Aquidauana,,3.62,1.4
Tirana,,3.62,1.13
Simferopol,,3.62,1.23
La Ceiba,,3.61,1.51
Comayagua,,3.59,1.22
Ravenna,,3.58,1.94
Kursk,,3.58,1.15
Gweru,,3.54,0.62
San Francisco,CA,3.53,1.44
Yuzhno-Sakhalinsk,,3.5,1.51
Bissau,,3.48,1.62
Dubai,,3.48,1.46
Bishoftu,,3.47,1.26
Mysore,KA,3.45,1.47
Paola,,3.42,2.11
Santa Cruz de la Sierra,,3.41,1.62
Georgetown,,3.4,1.13
Kigali,,3.4,1.21
Quito,,3.39,1.85
Janjanbureh,,3.38,1.63
Qostanai,,3.37,1.25
Jalal-Abad,,3.36,2.12
Gelendzhik,,3.35,1.75
Krasnodar,,3.35,1.74
Kolhapur,MH,3.35,1.68
Ijevan,,3.33,1.49
Aguadilla,,3.33,1.5
Tegucigalpa,,3.33,1.77
Lutsk,,3.3,1.42
Mbabane,,3.29,1.2
Goodlands,,3.28,0.89
St Paul's Bay,,3.28,1.84
Windhoek,,3.27,1.4
Port Gentil,,3.26,1.1
Gomel,,3.25,1.23
Porto,,3.25,0.83
Manzini,,3.23,1.03
