city,time
Sainte-Rose,25
Łódź,23.5
Berlin,8.44
Utrecht,12.77
Sao Paulo,6.35
Nendeln,12.36
St Martin,12.33
Lisbon,11.67
Alexandria,5.65
Mururi,10.67
Riga,5.25
Phnom Penh,5.19
Ena,10
Seoul,4.97
Wang'uru,9.75
Vientiane,4.82
La Oroya,9.46
San Juan,4.7
Managua,9.27
"Santa Barbara, CA",4.63
Sydney,4.57
Madrid,4.49
Tokyo,4.44
Lima,4.27
"Thiruvananthapuram, KL",4.19
Tel Aviv,4.13
Providenciales,4.07
Encamp,8
Settat,8
Tulcán,8
Ho Chi Minh City,7.95
"Mumbai, MH",3.94
L'Islet,7.84
Caracas,3.88
Bandar Seri Begawan,7.67
"Chicago, IL",3.83
Ilulissat,7.64
Karachi,3.7
Sihanoukville,3.68
Metz,7.25
"Toronto, ON",3.61
Buenos Aires,3.54
Mġarr,7.05
Denpasar,3.48
"Las Vegas, NV",3.44
"New Delhi, DL",3.44
Ta Khmau,6.86
Guatemala City,3.4
Rabat,3.36
Krasnoyarsk,3.36
Bucoli,6.67
Kharkiv,3.31
Juba,6.6
Abomey Calavi,3.3
Ziguinchor,3.29
Cherkessk,6.56
"Los Angeles, CA",3.19
Apia,3.19
Mauren,6.33
Auckland,6.22
Moscow,3.08
Kazan,3.07
"New York, NY",3.05
Gaborone,6.04
Arusha,3.01
Triesen,6
Makhachkala,3
Laxey,5.83
Nibok,5.83
Chunya,5.83
Odesa,2.89
Kampala,2.88
München,5.72
Francistown,5.67
Moynaq,5.67
Bishkek,5.65
"Atlanta, GA",5.65
Freetown,2.82
Yerevan,2.82
Turin,5.64
Annaba,2.82
Lomé,2.81
Takeo,5.62
Porto-Novo,2.8
Gustavia,5.6
Asmara,2.77
Sofia,5.54
Rostov-on-Don,5.52
"Pittsburgh, PA",5.5
Murmansk,2.75
Campo Grande,5.46
Kathmandu,2.7
Addis Ababa,2.69
Cairo,2.68
Baku,2.66
Oranjestad,5.25
Conakry,2.62
Kaolack,2.62
Road Town,2.59
Kampot,5.14
"Columbus, OH",5.1
Kampong Chhnang,5.09
Kafuta,5.07
Almaty,5.04
"Seattle, WA",5.03
Nairobi,2.52
"Thane, MH",2.51
Masvingo,5
Manila,4.99
Serrekunda,2.46
Accra,2.44
Ulaanbaatar,2.43
Enugu,2.4
Vaduz,4.8
Dréan,2.4
Milan,4.79
Nizhny Tagil,4.78
Tangier,2.39
Montego Bay,2.38
Lucea,4.76
Toshkent,2.38
Yakutsk,2.38
Garapan,4.75
Kurgan,4.73
Maputo,2.35
San Salvador,4.68
Gros Islet,4.67
Nouméa,4.67
Petropavlovsk-Kamchatsky,4.66
Victoria,2.32
Abidjan,2.31
Lagos,2.31
"Miami, FL",4.58
Cusco,4.56
Banjul,2.28
Abuja,2.27
Molepolole,4.54
Linden,2.26
Ouarzazate,2.26
Białystok,4.52
Tbilisi,2.25
Bangkok,4.47
Babruysk,4.47
Mariupol,4.47
Antananarivo,2.23
"Houston, TX",4.44
Asunción,4.37
Karurumo,4.33
Zhodzina,4.33
Oji River,4.33
Lviv,2.16
Spanish Town,2.15
Kuala Lumpur,4.29
Papeete,4.29
Parika,4.26
Mykolaiv,4.26
Podolsk,4.26
Lurigancho-Chosica,4.23
Casablanca,2.1
Mogadishu,2.1
Bafoussam,4.19
Cotonou,4.19
Paramaribo,4.18
Zheleznogorsk,4.17
"Portland, OR",4.16
Jakarta,4.12
Paris,4.11
Minsk,2.05
Nkubu,4.09
Irkutsk,4.08
"Philadelphia, PA",4.03
Lusaka,2.01
Grand Baie,4.01
Zabbar,4
Rotterdam,4
Bouillante,4
Orient Bay,4
Kirovsk,4
Melbourne,3.99
Awka,3.99
Cayenne,3.96
Brisbane,3.96
Thessaloniki,3.95
Pinsk,3.94
Barcelona,3.92
Yangon,3.92
"Pothencode, KL",3.92
Khabarovsk,3.91
Birżebbuġa,3.9
Bilbao,3.89
Marrakesh,3.87
Speightstown,3.87
Dakar,1.92
Baie Saint Anne,3.83
Magadan,1.92
Tórshavn,3.82
Nuuk,3.81
Ouagadougou,3.81
Helsinki,3.8
Batumi,1.9
Phuket Town,3.78
Vacoas-Phoenix,1.89
Volgograd,3.78
Tomsk,3.75
Damascus,3.74
Kryvyi Rih,3.74
St Julian's,3.73
Muscat,1.87
Qormi,1.86
Kalagi,3.72
Estepona,3.72
Sant Julià de Lòria,3.71
Lubumbashi,1.85
Konotop,3.69
Bujumbura,1.85
La Paz,3.68
Ouélessébougou,3.68
San Pedro Sula,1.83
Sègbo,3.67
Vinnytsia,3.67
St. John's,3.66
Athens,3.66
Donetsk,1.83
Valencia,3.65
Tallinn,3.64
Haifa,3.64
"Austin, TX",3.64
Puerto Suárez,3.64
Aquidauana,3.62
Tirana,3.62
Simferopol,3.62
La Ceiba,3.61
Comayagua,3.59
Ravenna,3.58
Kursk,3.58
Gweru,3.54
"San Francisco, CA",3.53
Yuzhno-Sakhalinsk,3.5
Bissau,3.48
Dubai,3.48
Bishoftu,3.47
Les Capelles,3.47
"Mysore, KA",3.45
Paola,3.42
Santa Cruz de la Sierra,3.41
Georgetown,3.4
Kigali,3.4
Quito,3.39
Janjanbureh,3.38
Qostanai,3.37
Jalal-Abad,3.36
Gelendzhik,3.35
Krasnodar,3.35
"Kolhapur, MH",3.35
Ijevan,3.33
Aguadilla,3.33
Tegucigalpa,3.33
Lutsk,3.3
Mbabane,3.29
Goodlands,3.28
Douglas,3.28
St Paul's Bay,3.28
Kisangani,3.28
Windhoek,3.27
Port Gentil,3.26
Gomel,3.25
Porto,3.25
Manzini,3.23
"Pune, MH",3.22
Montevideo,3.22
Moyamba Junction,3.21
Hamilton,3.21
Livingstone,3.2
St Helier,3.19
Bsharri,3.19
Malé,3.18
Swakopmund,3.17
Bulok,3.17
Christiansted,3.17
San José de Chiquitos,3.15
Minas,3.15
Moen,3.15
Amsterdam,3.15
Vladivostok,3.14
Bridgetown,3.14
Khartoum,3.13
Banha,3.12
Ba,3.12
Agadir,3.11
"Dibrugarh, AS",3.11
Princes Town,3.1
Hosanna,3.1
Tehran,3.1
Novopolotsk,3.09
Frankfurt,3.09
Ipiales,3.08
Holetown,3.07
London,3.07
"San Diego, CA",3.07
Punta del Este,3.07
Mandeville,3.07
Barranquilla,3.06
Macapá,3.06
Kumba,3.05
Ocho Rios,3.04
Essaouira,3.04
"Montreal, QC",3.04
Jerusalem,3.04
Sochi,3.04
Balneário Camboriú,3.04
Sarajevo,3.04
Kremenchuk,3.04
Luhansk,3.04
Chuy,3.04
Fergana,3.03
Labinsk,3.03
Huancayo,3.03
Stavropol,3.03
Zanzibar,3.03
"Kochi, KL",3.01
Tumon,3
Jamestown,3
Zelenchukskaya,3
El Madania,3
Chaaria,3
Tarfaya,3
Belgrade,3
"Kottayam, KL",3
Salangwe,3
"Cincinnati, OH",3
Havana,3
Skopje,2.99
Rome,2.99
Andorra la Vella,2.98
Faro,2.98
"Bengaluru, KA",2.97
Astana,2.97
Astrakhan,2.95
Fes,2.95
Kingston,2.95
Vreed en Hoop,2.94
Saint Petersburg,2.94
Eldoret,2.93
Prague,2.93
Bila Tserkva,2.92
Johannesburg,2.92
Zhytomyr,2.92
Lankaran,2.91
"Savannah, GA",2.88
St Peter Port,2.88
Ariana,2.88
Lucena,2.88
Novosibirsk,2.88
Jerada,2.87
Dar es Salaam,2.86
Kyiv,2.85
Hargeisa,2.85
Ronda,2.85
Santo Domingo,2.84
George Town,2.84
Samarkand,2.84
Panningen,2.83
Chita,2.83
Quetzaltenango,2.83
Linstead,2.83
Philipsburg,2.82
Arkhangelsk,2.81
Laayoune,2.81
Poltava,2.8
Oiapoque,2.79
Quatre Bornes,2.79
St Sampson,2.79
Bamako,2.78
Rivne,2.78
"Coimbatore, TN",2.78
Ugweri,2.78
Eindhoven,2.78
Balzers,2.78
"Zurich, ZH",2.77
Zaporizhzhia,2.76
Santiago,2.76
Kinshasa,2.75
Kalamata,2.75
Copenhagen,2.75
Meru,2.75
Ouidah,2.75
Chernihiv,2.74
Port Louis,2.74
Monze,2.73
Antalya,2.73
Omdurman,2.73
Salekhard,2.72
Lipetsk,2.7
Siena,2.69
Huacho,2.68
St. David's,2.67
Tétouan,2.67
Owia,1.33
Tiwi,2.67
Sur,2.67
Tiksi,2.67
"Stockton, CA",2.67
Damara,2.67
Bo,2.66
Kovel,2.66
Dubreka,2.66
Vienna,2.66
Harare,2.66
Badagry,2.65
Charlotte Amalie,2.64
"Pathanamthitta, KL",2.64
Pereiaslav,2.64
Shaki,2.64
Cherkasy,2.63
Abeokuta,2.63
Bulawayo,2.62
Coimbra,2.62
Nadi,2.62
Sonsonate,2.6
Kingstown,2.59
Basseterre,2.58
Oruro,2.58
Prizren,2.58
Yekaterinburg,2.58
Istanbul,2.58
Gan,2.58
Ajman,2.56
Caranavi,2.56
