id,name,city,video,time_of_day,start_time,end_time
1,Toronto1,Toronto,3ai7SUaPoHM,0,27,3250
1,Toronto2,Toronto,lmLWoDdQgtQ,0,25,2134
1,Toronto3,Toronto,oAsf9lqI1E4,0,25,2256
1,Toronto4,Toronto,iwD2qmNcm6k,0,27,2335
1,Toronto5,Toronto,qBH_yfaRqRw,0,26,2275
1,Toronto6,Toronto,q2vQ9woF8EQ,0,26,2618
1,Toronto7,Toronto,Ih1i-wzVP80,0,25,2148
1,Toronto8,Toronto,_e0RQL7NJZg,0,25,2505
1,Toronto9,Toronto,9mecWLY_MC4,0,25,2204
1,Toronto10,Toronto,tQtUvSZiZGg,0,25,2409
2,Jakarta1,Jakarta,gmDBzijaIAA,0,29,2968
2,Jakarta2,Jakarta,1pVb62M-RLI,0,0,868
2,Jakarta3,Jakarta,AppxCYZbyLo,0,0,570
2,Jakarta4,Jakarta,x6Dxv-rNbaw,0,0,641
2,Jakarta5,Jakarta,CwJQXjiXtRE,0,0,806
2,Jakarta6,Jakarta,3ekXQoPqgjI,0,34,2738
3,Manila1,Manila,JY-Xyiept88,0,43,4844
3,Manila2,Manila,z6EGkbnUxSQ,0,25,3437
3,Manila3,Manila,2tfyoN70EHo,0,49,4896
3,Manila4,Manila,F7heBWT2QVM,0,28,3600
3,Manila5,Manila,IhmOCrdAdfA,0,0,527
3,Manila6,Manila,ct0xmT226Kk,0,0,449
3,Manila7,Manila,pp8Nz5yvft4,0,0,409
3,Manila8,Manila,Z2cV43H0WHM,0,12,1605
3,Manila9,Manila,0PGzvVw8R00,0,8,820
3,Manila10,Manila,wwVA_jA1uAQ,0,12,4286
4,Sydney1,Sydney,wMu6Va5PhGY,0,41,3040
4,Sydney2,Sydney,jTyfIV2wres,0,10,2362
4,Sydney3,Sydney,_fxg06j8SNY,1,30,2172
4,Sydney4,Sydney,nHr0xATCG6M,0,90,2419
4,Sydney5,Sydney,c8_3MOnkmYg,0,60,1200
4,Sydney6,Sydney,g_JpzvbivK4,0,0,659
4,Sydney7,Sydney,FO5fob8rKXY,0,0,1439
4,Sydney8,Sydney,SrvXvT_jhDI,0,24,1054
4,Sydney9,Sydney,gtn3vErIXvg,0,0,960
4,Sydney10,Sydney,U1N_32C5HrU,0,0,886
5,Melbourne1,Melbourne,81n46krHrQA,0,42,2964
5,Melbourne2,Melbourne,gQ-9mmnfJjE,0,0,1835
5,Melbourne3,Melbourne,u_9_W9H04Ds,0,25,1665
5,Melbourne4,Melbourne,vhn1Y4BdRTM,0,25,1498
5,Melbourne5,Melbourne,lIziwOj5bjs,0,25,2046
5,Melbourne6,Melbourne,zUBJ0_X0kzw,0,10,2480
5,Melbourne7,Melbourne,z4htt-TfFvs,0,45,1500
5,Melbourne9,Melbourne,c7f7C3m8FNw,0,33,3589
5,Melbourne10,Melbourne,jYC9LnY07Ic,0,0,1300
5,Melbourne11,Melbourne,FyFH9wI2LY0,1,0,1357
6,Cincinnati1,Cincinnati,G1I_PlmL_YA,0,78,2729
6,Cincinnati2,Cincinnati,G3SVBflqEjI,0,0,300
6,Cincinnati3,Cincinnati,2TKhfRIb0Hg,0,0,420
6,Cincinnati4,Cincinnati,4OftD5ni7XA,0,0,1116
7,Brisbane1,Brisbane,9pPBmcKvFOc,0,23,2922
8,Monaco1,Monaco,ij6xccYYIuE,1,22,1875
8,Monaco2,Monaco,1oAR3mVJmww,1,46,2915
8,Monaco3,Monaco,tp3mSn9B6SY,0,38,3111
8,Monaco4,Monaco,HGk2D7t7SMA,1,44,2917
8,Monaco5,Monaco,VWM02zJLYvY,1,29,1956
8,Monaco6,Monaco,lYniyR3aU_g,1,0,1428
8,Monaco7,Monaco,Xs6HbiKCFZ0,0,0,1541
9,Milan1,Milan,ZByZSqoqzaI,0,18,3333
9,Milan3,Milan,iu9XjZuA1HE,0,7,2736
9,Milan5,Milan,9IoroeGhXtg,0,20,287
9,Milan6,Milan,fNCesoSwj6A,1,17,2623
9,Milan7,Milan,408tDCkG4ZE,0,25,2580
10,Kuala Lumpur1,Kuala Lumpur,AxQcSoA9vGQ,0,23,3140
10,Kuala Lumpur2,Kuala Lumpur,ePVXT8qOhJY,0,27,3087
10,Kuala Lumpur3,Kuala Lumpur,NBUMGTGFbM0,0,26,2459
11,Chicago1,Chicago,XzwI2rGmf04,0,22,3730
11,Chicago2,Chicago,_28yBWAYiYg,1,0,4256
11,Chicago5,Chicago,IWPb6eWMR_o,0,0,2141
11,Chicago6,Chicago,nFgX9DkEY4s,0,0,988
11,Chicago7,Chicago,P04G6dbzX_o,0,0,2152
11,Chicago10,Chicago,e1ZeF0Gz6rc,0,27,3499
11,Chicago11,Chicago,f19XIXze-FQ,0,22,4330
11,Chicago13,Chicago,O-YPkapBT8g,0,22,957
11,Chicago14,Chicago,9Prtp_eNUiI,1,22,3177
11,Chicago17,Chicago,wdIu8XdqtWM,0,22,1923
12,Las Vegas1,Las Vegas,KWciBlhQjRA,0,20,4569
12,Las Vegas2,Las Vegas,87q4Fz8DeRk,0,21,1869
12,Las Vegas3,Las Vegas,AaDu9M2cfKE,0,25,3091
12,Las Vegas4,Las Vegas,XFi48Q4bvQQ,0,25,2118
12,Las Vegas5,Las Vegas,xlf0nYzk5vk,0,25,2131
12,Las Vegas6,Las Vegas,HZaLvgP-R8E,1,18,4537
12,Las Vegas7,Las Vegas,fQ8oi4JEwFU,1,8,2618
12,Las Vegas8,Las Vegas,aNi5zsShnvU,0,87,1356
12,Las Vegas11,Las Vegas,ipjF2aPEyyE,1,19,3073
12,Las Vegas12,Las Vegas,PdMrwVxkt5I,1,5,957
13,Los Angeles1,Los Angeles,4uhMg5na888,0,13,2687
13,Los Angeles2,Los Angeles,hNN8TJtmfxs,0,26,2081
13,Los Angeles3,Los Angeles,HSkpcuGMiaE,0,25,1978
13,Los Angeles4,Los Angeles,qja2qXGMCUM,0,25,2045
13,Los Angeles5,Los Angeles,gfdsMx5ETJI,0,26,1937
13,Los Angeles6,Los Angeles,VSk6E473L1I,0,26,2134
13,Los Angeles7,Los Angeles,f4w-xsione8,0,25,2062
13,Los Angeles8,Los Angeles,fgIiF6S6tTc,0,25,2129
13,Los Angeles9,Los Angeles,lFjiQc8ngN4,0,26,1591
13,Los Angeles10,Los Angeles,ZhelsVW9yZ8,0,25,1909
14,New York1,New York,_Wyg213IZDI,0,18,3133
14,New York2,New York,X-QBQXHaiEs,1,8,2423
14,New York3,New York,UPrPATfWJ2g,1,23,3280
14,New York4,New York,LQLJu-EpkeE,0,22,3140
14,New York5,New York,1ktTQ1yAC8I,1,30,3360
14,New York7,New York,sqsez_oQSQ8,0,22,4678
14,New York9,New York,84oASHwHduI,0,0,1562
14,New York10,New York,Nft7amumvCo,0,50,2672
14,New York11,New York,7CXfFzU1tAs,0,42,2067
14,New York13,New York,dDr2Jr2SHOo,0,48,2120
15,Damascus1,Damascus,qzimFzMh6lA,0,0,1339
15,Damascus2,Damascus,GDSRSzo5DDw,0,7,1290
15,Damascus3,Damascus,I0UeMmyvdQw,0,0,852
15,Damascus4,Damascus,f1_63yasB4w,0,0,2201
15,Damascus5,Damascus,gmRVVKou1ds,0,0,1304
15,Damascus6,Damascus,8ThJZ3hVxYw,0,0,2727
15,Damascus7,Damascus,ORZLHfYIRWM,0,0,1956
15,Damascus8,Damascus,kxdW_OOqiFE,0,0,1136
15,Damascus9,Damascus,OKEdnuzkqGw,0,13,783
