id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
1,Toronto,Toronto,3ai7SUaPoHM,0,27,3250,TRUE,TRUE
2,Jakarta,Jakarta,gmDBzijaIAA,0,29,2968,TRUE,TRUE
3,Manila,Manila,JY-Xyiept88,0,43,4844,TRUE,TRUE
4,Sydney,Sydney,wMu6Va5PhGY,0,41,3040,TRUE,TRUE
5,Melbourne,Melbourne,81n46krHrQA,0,42,2964,TRUE,TRUE
6,Cincinnati,Cincinnati,G1I_PlmL_YA,0,78,2729,TRUE,
7,Brisbane,Brisbane,9pPBmcKvFOc,0,23,2922,TRUE,
8,Monaco,Monaco,ij6xccYYIuE,1,22,1875,TRUE,
9,Milan,Milan,ZByZSqoqzaI,0,18,3333,TRUE,
10,Kuala Lumpur,Kuala Lumpur,AxQcSoA9vGQ,0,23,3140,TRUE,
11,Chicago,Chicago,XzwI2rGmf04,0,22,3730,TRUE,
12,Las Vegas,Las Vegas,KWciBlhQjRA,0,20,4569,TRUE,
13,Los Angeles,Los Angeles,4uhMg5na888,0,13,2687,TRUE,
14,New York,New York,_Wyg213IZDI,0,18,3133,TRUE,
15,Damascus,Damascus,qzimFzMh6lA,0,0,1339,TRUE,
16,Luanda,Luanda,z3Gx2hp3Vo8,0,0,1836,,
17,Moscow,Moscow,wCKLtcGQnWc,0,0,2253,,
18,Seoul,Seoul,qOx5CwCrN9k,0,14,1417,,
19,Tokyo,Tokyo,oDejyTLYUTE,0,23,2310,,
20,Dhaka,Dhaka,ZruaEnhtYLA,0,58,1531,,
21,Mumbai,Mumbai,MAj6y23vNuU,0,23,4132,,
22,Buenos Aires,Buenos Aires,#NAME?,0,33,2948,,
23,New Delhi,New Delhi,Af0SUwah1bQ,0,22,2773,,
24,Auckland,Auckland,HdEMxWMXgPQ,0,27,3468,,
25,Barcelona,Barcelona,VaSFsM3s5bI,0,65,4005,,
26,Vienna,Vienna,TC64wRJt3JA,0,18,2949,,
27,Madrid,Madrid,C911U_Fo-QU,0,23,929,,
28,Kampala,Kampala,qeFr7pCSbYU,0,48,1233,,
29,Juba,Juba,f52Ttwcw-ak,0,9,2603,,
30,Santiago,Santiago,VMEsuZRIYs0,0,27,2851,,
31,Johannesburg,Johannesburg,B3BrV2N4tDM,0,24,1935,,
32,Dubai,Dubai,Rl3zyHDjSIs,0,19,4828,,
34,Cairo,Cairo,86pZTI5gJQM,1,22,3716,,
35,London,London,QI4_dGvZ5yE,0,26,3210,,
36,Copenhagen,Copenhagen,_7xMQCCxTLY,0,0,1840,,
38,Bangkok,Bangkok,GuyazY5xtuI,0,26,3813,,
41,Sao Paulo,Sao Paulo,Ic2ERD7kt4o,0,30,3829,,
43,Paris,Paris,AdqE7mFQ7Y4,0,31,2252,,
46,Istanbul,Istanbul,EekQAq5bufc,0,65,3300,,
48,Helsinki,Helsinki,X_Gdgh07k8E,0,19,2644,,
49,Algiers,Algiers,v2UmU4knL0c,0,0,2123,,
50,Lagos,Lagos,umBS-HEUImM,0,0,3866,,
51,Nairobi,Nairobi,VNLqnwoJqmM,0,0,1214,,
53,Lima,Lima,dk-NdzCrxvw,0,27,4099,,
54,Sofia,Sofia,SNQAfWsEVOQ,0,0,1823,,
55,Belgrade,Belgrade,Bf2ZTOJ2k4A,0,0,1799,,
56,Rabat,Rabat,ETjahDd78_o,0,0,3105,,
58,Kyiv,Kyiv,KPns9K6wJPw,0,0,1779,,
59,Warsaw,Warsaw,unU8hTgfHNc,0,0,2385,,
65,Minsk,Minsk,5py-m9Fg7ck,0,0,1638,,
66,Chelyabinsk,Chelyabinsk,ngf_1BKP1AI,0,1,1504,,
67,Miami,Miami,9FGFA7Ki4-4,0,25,2226,,
68,Seattle,Seattle,Nyk4ySw5QXs,0,67,2530,,
69,Frankfurt,Frankfurt,2054gi9TzcA,1,37,2161,,
71,Portland,Portland,MYYqxdszIoM,0,0,2520,,
73,Philadelphia,Philadelphia,wE5SyGMmA7I,0,92,1934,,
79,Houston,Houston,AdYYTIiWceo,0,15,2031,,
116,San Francisco,San Francisco,6F6YWRjHD0Y,0,26,2863,,
124,Montreal,Montreal,mhJaRDYV1Cg,0,25,2449,,
128,Savannah,Savannah,imlVO9WOjs4,0,25,2320,,
130,San Diego,San Diego,ax3IdgXx0iI,0,25,2462,,
138,Columbus,Columbus,mDEgH6lN9Yk,0,25,1991,,
139,Atlanta,Atlanta,mnARGT8rnXU,0,25,2530,,
144,Pittsburgh,Pittsburgh,U3Zxe80ysd4,1,65,3690,,
148,Amsterdam,Amsterdam,Ve4DvQNnDDQ,0,23,3429,,
149,Yangon,Yangon,Il-4y-IPnfg,0,10,2183,,
150,Tunis,Tunis,0wsuONzLXp0,0,31,3148,,
151,Santa Barbara,Santa Barbara,n5H0SrfsTQ0,0,60,4980,,
152,Lisbon,Lisbon,Lh9vwKMsEWE,0,70,908,,
153,Coimbra,Coimbra,FuzbMSNdpP4,0,1,1417,,
154,Leiria,Leiria,RAP9ze1fItQ,0,11,2042,,
156,Aveiro,Aveiro,ADSLw81FY7k,0,80,2470,,
158,Antalya,Antalya,xEzsSPPSLgU,0,37,4922,,
160,Porto,Porto,VIWikUUl5YQ,0,0,1740,,
163,Athens,Athens,UzmCmQ1-Rlg,0,0,1424,,
164,Prague,Prague,jeS5VPBrXLo,0,55,2445,,
170,Rome,Rome,aJw5od-0p2I,1,30,1565,,
172,Novopolotsk,Novopolotsk,Mh8vi6Sh4Cg,0,5,3165,,
173,Skopje,Skopje,NPIveID4qqU,0,80,3645,,
175,Tirana,Tirana,8cJcUWHV5AY,0,65,3240,,
177,Thessaloniki,Thessaloniki,dV0yxPmfdg8,1,75,3835,,
182,San Marino,San Marino,E0TcC2B5iQk,0,50,1255,,
183,München,München,OolZqtF1bhE,0,0,3250,,
197,Berlin,Berlin,R_qfsPcnw-w,0,0,2153,,
199,Zurich,Zurich,J2ijH7j7GDU,0,0,2340,,
200,Vitebsk,Vitebsk,QE-VqiYbITY,0,18,4796,,
203,Siena,Siena,XlgkfFROZ5g,1,0,1423,,
204,Taranto,Taranto,T74MhZ1Sjt4,1,0,780,,
205,Ravenna,Ravenna,bJwAtw5UpMQ,0,0,1605,,
206,Kalamata,Kalamata,_LWbJjpOyBU,0,34,1350,,
