id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
15,Dhaka,Dhaka,ZruaEnhtYLA,0,58,1531,True,True
16,Luanda,Luanda,z3Gx2hp3Vo8,0,0,1836,TRUE,
17,Moscow,Moscow,wCKLtcGQnWc,0,0,2253,,
18,Mumbai,Mumbai,MAj6y23vNuU,0,23,4132,,
19,Tokyo,Tokyo,oDejyTLYUTE,0,23,2310,,
20,Damascus,Damascus,qzimFzMh6lA,0,0,1339,,
21,Seoul,Seoul,qOx5CwCrN9k,0,14,1417,,
23,New Delhi,New Delhi,Af0SUwah1bQ,0,22,2773,,
24,Auckland,Auckland,HdEMxWMXgPQ,0,27,3468,,
25,Barcelona,Barcelona,VaSFsM3s5bI,0,65,4005,,
